log10c0,omega,deltaE,gtype,h,id
-3,[0;1.053718092319395e-06],[0;0.05],linear,NaN,87
-3,[0;1.053718092319395e-06],[0;0.05],hill,1,88
-3,[0;1.070072985321137e-06],[0;0.05],linear,NaN,89
-3,[0;1.070072985321137e-06],[0;0.05],hill,1,90
-3,[0;1.086681724704611e-06],[0;0.05],linear,NaN,91
-3,[0;1.086681724704611e-06],[0;0.05],hill,1,92
-3,[0;1.103548250451903e-06],[0;0.05],linear,NaN,93
-3,[0;1.103548250451903e-06],[0;0.05],hill,1,94
-3,[0;1.120676563698072e-06],[0;0.05],linear,NaN,95
-3,[0;1.120676563698072e-06],[0;0.05],hill,1,96
-3,[0;1.138070727680298e-06],[0;0.05],linear,NaN,97
-3,[0;1.138070727680298e-06],[0;0.05],hill,1,98
-3,[0;1.155734868701791e-06],[0;0.05],linear,NaN,99
-3,[0;1.155734868701791e-06],[0;0.05],hill,1,100
-3,[0;1.173673177110631e-06],[0;0.05],linear,NaN,101
-3,[0;1.173673177110631e-06],[0;0.05],hill,1,102
-3,[0;1.191889908293835e-06],[0;0.05],linear,NaN,103
-3,[0;1.191889908293835e-06],[0;0.05],hill,1,104
-3,[0;1.210389383686816e-06],[0;0.05],linear,NaN,105
-3,[0;1.210389383686816e-06],[0;0.05],hill,1,106
-3,[0;1.229175991798547e-06],[0;0.05],linear,NaN,107
-3,[0;1.229175991798547e-06],[0;0.05],hill,1,108
-3,[0;1.248254189252598e-06],[0;0.05],linear,NaN,109
-3,[0;1.248254189252598e-06],[0;0.05],hill,1,110
-3,[0;1.267628501844373e-06],[0;0.05],linear,NaN,111
-3,[0;1.267628501844373e-06],[0;0.05],hill,1,112
-3,[0;1.287303525614714e-06],[0;0.05],linear,NaN,113
-3,[0;1.287303525614714e-06],[0;0.05],hill,1,114
-3,[0;1.307283927940211e-06],[0;0.05],linear,NaN,115
-3,[0;1.307283927940211e-06],[0;0.05],hill,1,116
-3,[0;1.327574448640389e-06],[0;0.05],linear,NaN,117
-3,[0;1.327574448640389e-06],[0;0.05],hill,1,118
-3,[0;1.348179901102129e-06],[0;0.05],linear,NaN,119
-3,[0;1.348179901102129e-06],[0;0.05],hill,1,120
-3,[0;1.369105173421494e-06],[0;0.05],linear,NaN,121
-3,[0;1.369105173421494e-06],[0;0.05],hill,1,122
-3,[0;1.390355229563318e-06],[0;0.05],linear,NaN,123
-3,[0;1.390355229563318e-06],[0;0.05],hill,1,124
-3,[0;1.411935110538758e-06],[0;0.05],linear,NaN,125
-3,[0;1.411935110538758e-06],[0;0.05],hill,1,126
-3,[0;1.433849935601159e-06],[0;0.05],linear,NaN,127
-3,[0;1.433849935601159e-06],[0;0.05],hill,1,128
-3,[0;1.45610490346044e-06],[0;0.05],linear,NaN,129
-3,[0;1.45610490346044e-06],[0;0.05],hill,1,130
-3,[0;1.478705293516372e-06],[0;0.05],linear,NaN,131
-3,[0;1.478705293516372e-06],[0;0.05],hill,1,132
-3,[0;1.501656467110949e-06],[0;0.05],linear,NaN,133
-3,[0;1.501656467110949e-06],[0;0.05],hill,1,134
-3,[0;1.524963868800255e-06],[0;0.05],linear,NaN,135
-3,[0;1.524963868800255e-06],[0;0.05],hill,1,136
-3,[0;1.548633027646007e-06],[0;0.05],linear,NaN,137
-3,[0;1.548633027646007e-06],[0;0.05],hill,1,138
-3,[0;1.57266955852721e-06],[0;0.05],linear,NaN,139
-3,[0;1.57266955852721e-06],[0;0.05],hill,1,140
-3,[0;1.597079163472108e-06],[0;0.05],linear,NaN,141
-3,[0;1.597079163472108e-06],[0;0.05],hill,1,142
-3,[0;1.62186763301087e-06],[0;0.05],linear,NaN,143
-3,[0;1.62186763301087e-06],[0;0.05],hill,1,144
-3,[0;1.647040847549205e-06],[0;0.05],linear,NaN,145
-3,[0;1.647040847549205e-06],[0;0.05],hill,1,146
-3,[0;1.672604778763365e-06],[0;0.05],linear,NaN,147
-3,[0;1.672604778763365e-06],[0;0.05],hill,1,148
-3,[0;1.698565491016738e-06],[0;0.05],linear,NaN,149
-3,[0;1.698565491016738e-06],[0;0.05],hill,1,150
-3,[0;1.724929142798483e-06],[0;0.05],linear,NaN,151
-3,[0;1.724929142798483e-06],[0;0.05],hill,1,152
-3,[0;1.751701988184443e-06],[0;0.05],linear,NaN,153
-3,[0;1.751701988184443e-06],[0;0.05],hill,1,154
-3,[0;1.778890378320782e-06],[0;0.05],linear,NaN,155
-3,[0;1.778890378320782e-06],[0;0.05],hill,1,156
-3,[0;1.806500762930602e-06],[0;0.05],linear,NaN,157
-3,[0;1.806500762930602e-06],[0;0.05],hill,1,158
-3,[0;1.834539691843995e-06],[0;0.05],linear,NaN,159
-3,[0;1.834539691843995e-06],[0;0.05],hill,1,160
-3,[0;1.863013816551785e-06],[0;0.05],linear,NaN,161
-3,[0;1.863013816551785e-06],[0;0.05],hill,1,162
-3,[0;1.891929891783451e-06],[0;0.05],linear,NaN,163
-3,[0;1.891929891783451e-06],[0;0.05],hill,1,164
-3,[0;1.921294777109474e-06],[0;0.05],linear,NaN,165
-3,[0;1.921294777109474e-06],[0;0.05],hill,1,166
-3,[0;1.951115438568621e-06],[0;0.05],linear,NaN,167
-3,[0;1.951115438568621e-06],[0;0.05],hill,1,168
-3,[0;1.981398950320419e-06],[0;0.05],linear,NaN,169
-3,[0;1.981398950320419e-06],[0;0.05],hill,1,170
-3,[0;2.012152496323344e-06],[0;0.05],linear,NaN,171
-3,[0;2.012152496323344e-06],[0;0.05],hill,1,172
-3,[0;2.043383372038991e-06],[0;0.05],linear,NaN,173
-3,[0;2.043383372038991e-06],[0;0.05],hill,1,174
-3,[0;2.075098986162764e-06],[0;0.05],linear,NaN,175
-3,[0;2.075098986162764e-06],[0;0.05],hill,1,176
-3,[0;2.107306862381357e-06],[0;0.05],linear,NaN,177
-3,[0;2.107306862381357e-06],[0;0.05],hill,1,178
-3,[0;2.140014641157582e-06],[0;0.05],linear,NaN,179
-3,[0;2.140014641157582e-06],[0;0.05],hill,1,180
-3,[0;2.173230081542835e-06],[0;0.05],linear,NaN,181
-3,[0;2.173230081542835e-06],[0;0.05],hill,1,182
-3,[0;2.206961063017742e-06],[0;0.05],linear,NaN,183
-3,[0;2.206961063017742e-06],[0;0.05],hill,1,184
-3,[0;2.24121558736136e-06],[0;0.05],linear,NaN,185
-3,[0;2.24121558736136e-06],[0;0.05],hill,1,186
-3,[0;2.276001780549382e-06],[0;0.05],linear,NaN,187
-3,[0;2.276001780549382e-06],[0;0.05],hill,1,188
-3,[0;2.311327894681795e-06],[0;0.05],linear,NaN,189
-3,[0;2.311327894681795e-06],[0;0.05],hill,1,190
-3,[0;2.347202309940487e-06],[0;0.05],linear,NaN,191
-3,[0;2.347202309940487e-06],[0;0.05],hill,1,192
-3,[0;2.383633536577224e-06],[0;0.05],linear,NaN,193
-3,[0;2.383633536577224e-06],[0;0.05],hill,1,194
-3,[0;2.420630216932478e-06],[0;0.05],linear,NaN,195
-3,[0;2.420630216932478e-06],[0;0.05],hill,1,196
-3,[0;2.458201127485582e-06],[0;0.05],linear,NaN,197
-3,[0;2.458201127485582e-06],[0;0.05],hill,1,198
-3,[0;2.496355180936722e-06],[0;0.05],linear,NaN,199
-3,[0;2.496355180936722e-06],[0;0.05],hill,1,200
-3,[0;2.535101428321254e-06],[0;0.05],linear,NaN,201
-3,[0;2.535101428321254e-06],[0;0.05],hill,1,202
-3,[0;2.574449061156807e-06],[0;0.05],linear,NaN,203
-3,[0;2.574449061156807e-06],[0;0.05],hill,1,204
-3,[0;2.614407413623718e-06],[0;0.05],linear,NaN,205
-3,[0;2.614407413623718e-06],[0;0.05],hill,1,206
-3,[0;2.65498596477933e-06],[0;0.05],linear,NaN,207
-3,[0;2.65498596477933e-06],[0;0.05],hill,1,208
-3,[0;2.696194340806654e-06],[0;0.05],linear,NaN,209
-3,[0;2.696194340806654e-06],[0;0.05],hill,1,210
-3,[0;2.738042317297918e-06],[0;0.05],linear,NaN,211
-3,[0;2.738042317297918e-06],[0;0.05],hill,1,212
-3,[0;2.78053982157355e-06],[0;0.05],linear,NaN,213
-3,[0;2.78053982157355e-06],[0;0.05],hill,1,214
-3,[0;2.823696935037189e-06],[0;0.05],linear,NaN,215
-3,[0;2.823696935037189e-06],[0;0.05],hill,1,216
-3,[0;2.867523895567237e-06],[0;0.05],linear,NaN,217
-3,[0;2.867523895567237e-06],[0;0.05],hill,1,218
-3,[0;2.912031099945513e-06],[0;0.05],linear,NaN,219
-3,[0;2.912031099945513e-06],[0;0.05],hill,1,220
-3,[0;2.957229106323602e-06],[0;0.05],linear,NaN,221
-3,[0;2.957229106323602e-06],[0;0.05],hill,1,222
-3,[0;3.003128636727507e-06],[0;0.05],linear,NaN,223
-3,[0;3.003128636727507e-06],[0;0.05],hill,1,224
-3,[0;3.049740579601178e-06],[0;0.05],linear,NaN,225
-3,[0;3.049740579601178e-06],[0;0.05],hill,1,226
-3,[0;3.097075992389493e-06],[0;0.05],linear,NaN,227
-3,[0;3.097075992389493e-06],[0;0.05],hill,1,228
-3,[0;3.14514610416133e-06],[0;0.05],linear,NaN,229
-3,[0;3.14514610416133e-06],[0;0.05],hill,1,230
-3,[0;3.19396231827338e-06],[0;0.05],linear,NaN,231
-3,[0;3.19396231827338e-06],[0;0.05],hill,1,232
-3,[0;3.243536215075305e-06],[0;0.05],linear,NaN,233
-3,[0;3.243536215075305e-06],[0;0.05],hill,1,234
-3,[0;3.293879554656829e-06],[0;0.05],linear,NaN,235
-3,[0;3.293879554656829e-06],[0;0.05],hill,1,236
-3,[0;3.345004279637556e-06],[0;0.05],linear,NaN,237
-3,[0;3.345004279637556e-06],[0;0.05],hill,1,238
-3,[0;3.396922517999983e-06],[0;0.05],linear,NaN,239
-3,[0;3.396922517999983e-06],[0;0.05],hill,1,240
-3,[0;3.449646585966603e-06],[0;0.05],linear,NaN,241
-3,[0;3.449646585966603e-06],[0;0.05],hill,1,242
-3,[0;3.503188990921539e-06],[0;0.05],linear,NaN,243
-3,[0;3.503188990921539e-06],[0;0.05],hill,1,244
-3,[0;3.55756243437765e-06],[0;0.05],linear,NaN,245
-3,[0;3.55756243437765e-06],[0;0.05],hill,1,246
-3,[0;3.612779814989566e-06],[0;0.05],linear,NaN,247
-3,[0;3.612779814989566e-06],[0;0.05],hill,1,248
-3,[0;3.668854231613615e-06],[0;0.05],linear,NaN,249
-3,[0;3.668854231613615e-06],[0;0.05],hill,1,250
-3,[0;3.725798986415111e-06],[0;0.05],linear,NaN,251
-3,[0;3.725798986415111e-06],[0;0.05],hill,1,252
-3,[0;3.783627588024008e-06],[0;0.05],linear,NaN,253
-3,[0;3.783627588024008e-06],[0;0.05],hill,1,254
-3,[0;3.842353754739398e-06],[0;0.05],linear,NaN,255
-3,[0;3.842353754739398e-06],[0;0.05],hill,1,256
-3,[0;3.901991417783874e-06],[0;0.05],linear,NaN,257
-3,[0;3.901991417783874e-06],[0;0.05],hill,1,258
-3,[0;3.962554724608283e-06],[0;0.05],linear,NaN,259
-3,[0;3.962554724608283e-06],[0;0.05],hill,1,260
-3,[0;4.024058042247893e-06],[0;0.05],linear,NaN,261
-3,[0;4.024058042247893e-06],[0;0.05],hill,1,262
-3,[0;4.086515960730529e-06],[0;0.05],linear,NaN,263
-3,[0;4.086515960730529e-06],[0;0.05],hill,1,264
-3,[0;4.149943296537731e-06],[0;0.05],linear,NaN,265
-3,[0;4.149943296537731e-06],[0;0.05],hill,1,266
-3,[0;4.214355096119509e-06],[0;0.05],linear,NaN,267
-3,[0;4.214355096119509e-06],[0;0.05],hill,1,268
-3,[0;4.279766639463777e-06],[0;0.05],linear,NaN,269
-3,[0;4.279766639463777e-06],[0;0.05],hill,1,270
-3,[0;4.346193443721056e-06],[0;0.05],linear,NaN,271
-3,[0;4.346193443721056e-06],[0;0.05],hill,1,272
-3,[0;4.413651266885578e-06],[0;0.05],linear,NaN,273
-3,[0;4.413651266885578e-06],[0;0.05],hill,1,274
-3,[0;4.482156111533377e-06],[0;0.05],linear,NaN,275
-3,[0;4.482156111533377e-06],[0;0.05],hill,1,276
-3,[0;4.551724228618551e-06],[0;0.05],linear,NaN,277
-3,[0;4.551724228618551e-06],[0;0.05],hill,1,278
-3,[0;4.622372121328291e-06],[0;0.05],linear,NaN,279
-3,[0;4.622372121328291e-06],[0;0.05],hill,1,280
-3,[0;4.694116548997901e-06],[0;0.05],linear,NaN,281
-3,[0;4.694116548997901e-06],[0;0.05],hill,1,282
-3,[0;4.766974531086432e-06],[0;0.05],linear,NaN,283
-3,[0;4.766974531086432e-06],[0;0.05],hill,1,284
-3,[0;4.840963351214164e-06],[0;0.05],linear,NaN,285
-3,[0;4.840963351214164e-06],[0;0.05],hill,1,286
-3,[0;4.916100561262621e-06],[0;0.05],linear,NaN,287
-3,[0;4.916100561262621e-06],[0;0.05],hill,1,288
-3,[0;4.992403985538355e-06],[0;0.05],linear,NaN,289
-3,[0;4.992403985538355e-06],[0;0.05],hill,1,290
-3,[0;5.069891725001217e-06],[0;0.05],linear,NaN,291
-3,[0;5.069891725001217e-06],[0;0.05],hill,1,292
-3,[0;5.148582161558407e-06],[0;0.05],linear,NaN,293
-3,[0;5.148582161558407e-06],[0;0.05],hill,1,294
-3,[0;5.22849396242501e-06],[0;0.05],linear,NaN,295
-3,[0;5.22849396242501e-06],[0;0.05],hill,1,296
-3,[0;5.309646084552382e-06],[0;0.05],linear,NaN,297
-3,[0;5.309646084552382e-06],[0;0.05],hill,1,298
-3,[0;5.392057779125099e-06],[0;0.05],linear,NaN,299
-3,[0;5.392057779125099e-06],[0;0.05],hill,1,300
-3,[0;5.475748596127871e-06],[0;0.05],linear,NaN,301
-3,[0;5.475748596127871e-06],[0;0.05],hill,1,302
-3,[0;5.560738388983174e-06],[0;0.05],linear,NaN,303
-3,[0;5.560738388983174e-06],[0;0.05],hill,1,304
-3,[0;5.64704731926103e-06],[0;0.05],linear,NaN,305
-3,[0;5.64704731926103e-06],[0;0.05],hill,1,306
-3,[0;5.73469586146172e-06],[0;0.05],linear,NaN,307
-3,[0;5.73469586146172e-06],[0;0.05],hill,1,308
-3,[0;5.823704807872902e-06],[0;0.05],linear,NaN,309
-3,[0;5.823704807872902e-06],[0;0.05],hill,1,310
-3,[0;5.914095273501939e-06],[0;0.05],linear,NaN,311
-3,[0;5.914095273501939e-06],[0;0.05],hill,1,312
-3,[0;6.005888701084965e-06],[0;0.05],linear,NaN,313
-3,[0;6.005888701084965e-06],[0;0.05],hill,1,314
-3,[0;6.099106866173509e-06],[0;0.05],linear,NaN,315
-3,[0;6.099106866173509e-06],[0;0.05],hill,1,316
-3,[0;6.193771882300265e-06],[0;0.05],linear,NaN,317
-3,[0;6.193771882300265e-06],[0;0.05],hill,1,318
-3,[0;6.28990620622484e-06],[0;0.05],linear,NaN,319
-3,[0;6.28990620622484e-06],[0;0.05],hill,1,320
-3,[0;6.387532643261124e-06],[0;0.05],linear,NaN,321
-3,[0;6.387532643261124e-06],[0;0.05],hill,1,322
-3,[0;6.486674352687144e-06],[0;0.05],linear,NaN,323
-3,[0;6.486674352687144e-06],[0;0.05],hill,1,324
-3,[0;6.587354853239086e-06],[0;0.05],linear,NaN,325
-3,[0;6.587354853239086e-06],[0;0.05],hill,1,326
