log10c0,deltaE,rho_at_t0,Omega,delta_tf,max_batches,environment_type,tf,id
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,1
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,2
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,3
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,4
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,5
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,6
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,7
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,8
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,9
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,10
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,11
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,12
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,13
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,14
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,15
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,16
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,17
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,18
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,19
2,[0;0.05],[0.99999;1e-05],[0;0.02507837448117671],4.600880885980916,300000,stochastic-tf,9.201761771961833,20
