log10c0,deltaE,Omega,max_batches,environment_type,tf,rho_at_t0,delta_Omega2,id
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999907;9.34807786734382e-14],0.00125436872405884,1
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999873;1.26565424807268e-13],0.00125436872405884,2
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999829;1.70974345792274e-13],0.00125436872405884,3
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999769;2.31148433726958e-13],0.00125436872405884,4
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999687;3.12638803734444e-13],0.00125436872405884,5
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999577;4.22550883172335e-13],0.00125436872405884,6
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999429;5.71320768472106e-13],0.00125436872405884,7
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999999228;7.72271135929259e-13],0.00125436872405884,8
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999998956;1.0440537323575e-12],0.00125436872405884,9
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999998589;1.4113155089035e-12],0.00125436872405884,10
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999998092;1.90802929012079e-12],0.00125436872405884,11
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999997421;2.57949217541409e-12],0.00125436872405884,12
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999996513;3.48721052034762e-12],0.00125436872405884,13
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999995286;4.71445105176826e-12],0.00125436872405884,14
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999993627;6.37334629516317e-12],0.00125436872405884,15
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999991384;8.61621884951091e-12],0.00125436872405884,16
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999988352;1.16480158851573e-11],0.00125436872405884,17
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999984253;1.57469592920734e-11],0.00125436872405884,18
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999978712;2.12883044525825e-11],0.00125436872405884,19
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999971221;2.87794232889382e-11],0.00125436872405884,20
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999961093;3.89068777195689e-11],0.00125436872405884,21
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999947402;5.25981480592463e-11],0.00125436872405884,22
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999928893;7.11071201919822e-11],0.00125436872405884,23
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999903871;9.6129326720984e-11],0.00125436872405884,24
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999870043;1.29956712058288e-10],0.00125436872405884,25
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999824312;1.75687908665623e-10],0.00125436872405884,26
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999762488;2.37511788014899e-10],0.00125436872405884,27
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999678909;3.21090931620915e-10],0.00125436872405884,28
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999565919;4.34081437461487e-10],0.00125436872405884,29
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999413167;5.86832582527563e-10],0.00125436872405884,30
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999999206664;7.93336285553892e-10],0.00125436872405884,31
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999998927492;1.07250763825562e-09],0.00125436872405884,32
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999998550082;1.44991796346972e-09],0.00125436872405884,33
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999998039863;1.96013738573697e-09],0.00125436872405884,34
2,[0;0.05],[0;0.002508737448117671],300000,stochastic-Omega,92.0176177196183,[0.999999997350099;2.64990052123437e-09],0.00125436872405884,35
