log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id
-3,[0;1.390355229563318e-06],[0;0.05],hill,1,1646960,1,stochastic-tf,62
-3,[0;1.411935110538758e-06],[0;0.05],hill,1,1654270,1,stochastic-tf,63
-3,[0;1.433849935601159e-06],[0;0.05],hill,1,1661780,1,stochastic-tf,64
-3,[0;1.45610490346044e-06],[0;0.05],hill,1,1669470,1,stochastic-tf,65
-3,[0;1.478705293516372e-06],[0;0.05],hill,1,1677370,1,stochastic-tf,66
-3,[0;1.501656467110949e-06],[0;0.05],hill,1,1685470,1,stochastic-tf,67
-3,[0;1.524963868800255e-06],[0;0.05],hill,1,1693780,1,stochastic-tf,68
-3,[0;1.548633027646007e-06],[0;0.05],hill,1,1702310,1,stochastic-tf,69
-3,[0;1.57266955852721e-06],[0;0.05],hill,1,1711070,1,stochastic-tf,70
-3,[0;1.597079163472108e-06],[0;0.05],hill,1,1720070,1,stochastic-tf,71
-3,[0;1.62186763301087e-06],[0;0.05],hill,1,1729310,1,stochastic-tf,72
-3,[0;1.647040847549205e-06],[0;0.05],hill,1,1738810,1,stochastic-tf,73
-3,[0;1.672604778763365e-06],[0;0.05],hill,1,1748570,1,stochastic-tf,74
-3,[0;1.698565491016738e-06],[0;0.05],hill,1,1758610,1,stochastic-tf,75
-3,[0;1.724929142798483e-06],[0;0.05],hill,1,1768920,1,stochastic-tf,76
-3,[0;1.751701988184443e-06],[0;0.05],hill,1,1779540,1,stochastic-tf,77
-3,[0;1.778890378320782e-06],[0;0.05],hill,1,1790460,1,stochastic-tf,78
-3,[0;1.806500762930602e-06],[0;0.05],hill,1,1801700,1,stochastic-tf,79
-3,[0;1.834539691843995e-06],[0;0.05],hill,1,1813270,1,stochastic-tf,80
-3,[0;1.863013816551785e-06],[0;0.05],hill,1,1825190,1,stochastic-tf,81
-3,[0;1.891929891783451e-06],[0;0.05],hill,1,1837460,1,stochastic-tf,82
-3,[0;1.921294777109474e-06],[0;0.05],hill,1,1850120,1,stochastic-tf,83
-3,[0;1.951115438568621e-06],[0;0.05],hill,1,1863160,1,stochastic-tf,84
-3,[0;1.981398950320419e-06],[0;0.05],hill,1,1876610,1,stochastic-tf,85
-3,[0;2.012152496323344e-06],[0;0.05],hill,1,1890490,1,stochastic-tf,86
-3,[0;2.043383372038991e-06],[0;0.05],hill,1,1904810,1,stochastic-tf,87
-3,[0;2.075098986162764e-06],[0;0.05],hill,1,1919600,1,stochastic-tf,88
-3,[0;2.107306862381357e-06],[0;0.05],hill,1,1934870,1,stochastic-tf,89
-3,[0;2.140014641157582e-06],[0;0.05],hill,1,1950660,1,stochastic-tf,90
-3,[0;2.173230081542835e-06],[0;0.05],hill,1,1966980,1,stochastic-tf,91
-3,[0;2.206961063017742e-06],[0;0.05],hill,1,1983850,1,stochastic-tf,92
-3,[0;2.24121558736136e-06],[0;0.05],hill,1,2001320,1,stochastic-tf,93
-3,[0;2.276001780549382e-06],[0;0.05],hill,1,2019390,1,stochastic-tf,94
-3,[0;2.311327894681795e-06],[0;0.05],hill,1,2038120,1,stochastic-tf,95
-3,[0;2.347202309940487e-06],[0;0.05],hill,1,2057530,1,stochastic-tf,96
-3,[0;2.383633536577224e-06],[0;0.05],hill,1,2077650,1,stochastic-tf,97
-3,[0;2.420630216932478e-06],[0;0.05],hill,1,2098530,1,stochastic-tf,98
-3,[0;2.458201127485582e-06],[0;0.05],hill,1,2120200,1,stochastic-tf,99
-3,[0;2.496355180936722e-06],[0;0.05],hill,1,2142710,1,stochastic-tf,100
-3,[0;2.535101428321254e-06],[0;0.05],hill,1,2166110,1,stochastic-tf,101
-3,[0;2.574449061156807e-06],[0;0.05],hill,1,2190450,1,stochastic-tf,102
-3,[0;2.614407413623718e-06],[0;0.05],hill,1,2215780,1,stochastic-tf,103
-3,[0;2.65498596477933e-06],[0;0.05],hill,1,2242170,1,stochastic-tf,104
-3,[0;2.696194340806654e-06],[0;0.05],hill,1,2269670,1,stochastic-tf,105
-3,[0;2.738042317297918e-06],[0;0.05],hill,1,2298360,1,stochastic-tf,106
-3,[0;2.78053982157355e-06],[0;0.05],hill,1,2328320,1,stochastic-tf,107
-3,[0;2.823696935037189e-06],[0;0.05],hill,1,2359630,1,stochastic-tf,108
-3,[0;2.867523895567237e-06],[0;0.05],hill,1,2392370,1,stochastic-tf,109
-3,[0;2.912031099945513e-06],[0;0.05],hill,1,2426650,1,stochastic-tf,110
-3,[0;2.957229106323602e-06],[0;0.05],hill,1,2462570,1,stochastic-tf,111
-3,[0;3.003128636727507e-06],[0;0.05],hill,1,2500250,1,stochastic-tf,112
-3,[0;3.049740579601178e-06],[0;0.05],hill,1,2539830,1,stochastic-tf,113
-3,[0;3.097075992389493e-06],[0;0.05],hill,1,2581450,1,stochastic-tf,114
-3,[0;3.14514610416133e-06],[0;0.05],hill,1,2625260,1,stochastic-tf,115
-3,[0;3.19396231827338e-06],[0;0.05],hill,1,2671440,1,stochastic-tf,116
-3,[0;3.243536215075305e-06],[0;0.05],hill,1,2720190,1,stochastic-tf,117
-3,[0;3.293879554656829e-06],[0;0.05],hill,1,2771730,1,stochastic-tf,118
-3,[0;3.345004279637556e-06],[0;0.05],hill,1,2826290,1,stochastic-tf,119
-3,[0;3.396922517999983e-06],[0;0.05],hill,1,2884160,1,stochastic-tf,120
-3,[0;3.449646585966603e-06],[0;0.05],hill,1,2945630,1,stochastic-tf,121
-3,[0;3.503188990921539e-06],[0;0.05],hill,1,3011060,1,stochastic-tf,122
-3,[0;3.55756243437765e-06],[0;0.05],hill,1,3080850,1,stochastic-tf,123
-3,[0;3.612779814989566e-06],[0;0.05],hill,1,3155430,1,stochastic-tf,124
-3,[0;3.668854231613615e-06],[0;0.05],hill,1,3235330,1,stochastic-tf,125
-3,[0;3.725798986415111e-06],[0;0.05],hill,1,3321130,1,stochastic-tf,126
-3,[0;3.783627588024008e-06],[0;0.05],hill,1,3413530,1,stochastic-tf,127
-3,[0;3.842353754739398e-06],[0;0.05],hill,1,3513310,1,stochastic-tf,128
-3,[0;3.901991417783874e-06],[0;0.05],hill,1,3621410,1,stochastic-tf,129
-3,[0;3.962554724608283e-06],[0;0.05],hill,1,3738930,1,stochastic-tf,130
-3,[0;4.024058042247893e-06],[0;0.05],hill,1,3867180,1,stochastic-tf,131
-3,[0;4.086515960730529e-06],[0;0.05],hill,1,4007710,1,stochastic-tf,132
-3,[0;4.149943296537731e-06],[0;0.05],hill,1,4162400,1,stochastic-tf,133
-3,[0;4.214355096119509e-06],[0;0.05],hill,1,4333570,1,stochastic-tf,134
-3,[0;4.279766639463777e-06],[0;0.05],hill,1,4524050,1,stochastic-tf,135
-3,[0;4.346193443721056e-06],[0;0.05],hill,1,4737370,1,stochastic-tf,136
-3,[0;4.413651266885578e-06],[0;0.05],hill,1,4978020,1,stochastic-tf,137
-3,[0;4.482156111533377e-06],[0;0.05],hill,1,5251760,1,stochastic-tf,138
-3,[0;4.551724228618551e-06],[0;0.05],hill,1,5566130,1,stochastic-tf,139
-3,[0;4.622372121328291e-06],[0;0.05],hill,1,5931190,1,stochastic-tf,140
-3,[0;4.694116548997901e-06],[0;0.05],hill,1,6360730,1,stochastic-tf,141
-3,[0;4.766974531086432e-06],[0;0.05],hill,1,6874110,1,stochastic-tf,142
-3,[0;4.840963351214164e-06],[0;0.05],hill,1,7499550,1,stochastic-tf,143
-3,[0;4.916100561262621e-06],[0;0.05],hill,1,8279810,1,stochastic-tf,144
-3,[0;4.992403985538355e-06],[0;0.05],hill,1,9283070,1,stochastic-tf,145
-3,[0;5.069891725001217e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,146
-3,[0;5.148582161558407e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,147
-3,[0;5.22849396242501e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,148
-3,[0;5.309646084552382e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,149
-3,[0;5.392057779125099e-06],[0;0.05],hill,1,68970,1,stochastic-tf,150
-3,[0;5.475748596127871e-06],[0;0.05],hill,1,9813560,1,stochastic-tf,151
-3,[0;5.560738388983174e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,152
