log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;9.75617587796468e-07],[0;0.05],hill,1,1518750,1,stochastic-tf,39,[0;0.944157364962618],1518750,0,0.00101399618263903
-3,[0;9.907602728991875e-07],[0;0.05],hill,1,1523050,1,stochastic-tf,40,[0;0.936020089567614],1523050,0,0.00102595669851396
-3,[0;1.006137989550114e-06],[0;0.05],hill,1,1527450,1,stochastic-tf,41,[0;0.941542948839656],1527450,0,0.00101995930247485
-3,[0;1.02175438570391e-06],[0;0.05],hill,1,1531940,1,stochastic-tf,42,[0;0.935422123724897],1531940,0,0.00102662450366107
-3,[0;1.0376131659356e-06],[0;0.05],hill,1,1536530,1,stochastic-tf,43,[0;0.936124333624905],1536530,0,0.00102433976904001
-3,[0;1.053718092319395e-06],[0;0.05],hill,1,1541220,1,stochastic-tf,44,[0;0.938681230087096],1541220,0,0.00102305850008094
-3,[0;1.070072985321137e-06],[0;0.05],hill,1,1546020,1,stochastic-tf,45,[0;0.931735143006083],1546020,0,0.00102680552068983
-3,[0;1.086681724704611e-06],[0;0.05],hill,1,1550930,1,stochastic-tf,46,[0;0.936272033077401],1550930,0,0.00102569706955102
-3,[0;1.103548250451903e-06],[0;0.05],hill,1,1555940,1,stochastic-tf,47,[0;0.936024670224234],1555940,0,0.00102364312851666
-3,[0;1.120676563698072e-06],[0;0.05],hill,1,1561070,1,stochastic-tf,48,[0;0.940797645412801],1561070,0,0.0010205940429015
-3,[0;1.138070727680298e-06],[0;0.05],hill,1,1566320,1,stochastic-tf,49,[0;0.937360348832348],1566320,0,0.00057586965645264
-3,[0;1.155734868701791e-06],[0;0.05],hill,1,1571690,1,stochastic-tf,50,[0;0.938303553030703],1571690,0,0.00102346917672824
-3,[0;1.173673177110631e-06],[0;0.05],hill,1,1577180,1,stochastic-tf,51,[0;0.939372825866486],1577180,0,0.0010222935202244
-3,[0;1.191889908293835e-06],[0;0.05],hill,1,1582800,1,stochastic-tf,52,[0;0.934020968348281],1582800,0,0.00102817218929098
-3,[0;1.210389383686816e-06],[0;0.05],hill,1,1588550,1,stochastic-tf,53,[0;0.934678296327249],1588550,0,0.00102744287109489
-3,[0;1.229175991798547e-06],[0;0.05],hill,1,1594440,1,stochastic-tf,54,[0;0.926783812937696],1594440,0,0.00103618289336469
-3,[0;1.248254189252598e-06],[0;0.05],hill,1,1600460,1,stochastic-tf,55,[0;0.931546161053349],1600460,0,0.00103089367687475
-3,[0;1.267628501844373e-06],[0;0.05],hill,1,1606640,1,stochastic-tf,56,[0;0.93761214599231],1606640,0,0.00102421498288316
-3,[0;1.287303525614714e-06],[0;0.05],hill,1,1612960,1,stochastic-tf,57,[0;0.934705808280969],1612960,0,0.00102741906897965
-3,[0;1.307283927940211e-06],[0;0.05],hill,1,1619430,1,stochastic-tf,58,[0;0.931131152453489],1619430,0,0.00100595872747626
-3,[0;1.327574448640389e-06],[0;0.05],hill,1,1626060,1,stochastic-tf,59,[0;0.932436689237454],1626060,0,0.00102014242266866
-3,[0;1.348179901102129e-06],[0;0.05],hill,1,1632850,1,stochastic-tf,60,[0;0.935365451805712],1632850,0,0.00102667644184549
-3,[0;1.369105173421494e-06],[0;0.05],hill,1,1639820,1,stochastic-tf,61,[0;0.93025579990114],1639820,0,0.000711305690711185
-3,[0;1.390355229563318e-06],[0;0.05],hill,1,1646960,1,stochastic-tf,62,[0;0.925458127646934],1646960,0,0.00103767159538789
-3,[0;1.411935110538758e-06],[0;0.05],hill,1,1654270,1,stochastic-tf,63,[0;0.935795250129627],1654270,0,0.00102609986680954
-3,[0;1.433849935601159e-06],[0;0.05],hill,1,1661780,1,stochastic-tf,64,[0;0.930753892598689],1661780,0,0.00103176250301434
-3,[0;1.45610490346044e-06],[0;0.05],hill,1,1669470,1,stochastic-tf,65,[0;0.930320918614981],1669470,0,0.00103225560346239
-3,[0;1.478705293516372e-06],[0;0.05],hill,1,1677370,1,stochastic-tf,66,[0;0.936667875668602],1677370,0,0.000874089890531236
-3,[0;1.501656467110949e-06],[0;0.05],hill,1,1685470,1,stochastic-tf,67,[0;0.924800866747939],1685470,0,0.00103841312128727
-3,[0;1.524963868800255e-06],[0;0.05],hill,1,1693780,1,stochastic-tf,68,[0;0.930612979123689],1693780,0,0.00103192942968684
-3,[0;1.548633027646007e-06],[0;0.05],hill,1,1702310,1,stochastic-tf,69,[0;0.933353665158783],1702310,0,0.000350212265267323
-3,[0;1.57266955852721e-06],[0;0.05],hill,1,1711070,1,stochastic-tf,70,[0;0.931348957953863],1711070,0,0.00103074824084287
-3,[0;1.597079163472108e-06],[0;0.05],hill,1,1720070,1,stochastic-tf,71,[0;0.93271830143923],1720070,0,0.00102958462459126
-3,[0;1.62186763301087e-06],[0;0.05],hill,1,1729310,1,stochastic-tf,72,[0;0.938637623146054],1729310,0,0.00102044776292068
-3,[0;1.647040847549205e-06],[0;0.05],hill,1,1738810,1,stochastic-tf,73,[0;0.921695999135257],1738810,0,0.000991405439007301
-3,[0;1.672604778763365e-06],[0;0.05],hill,1,1748570,1,stochastic-tf,74,[0;0.931593039113406],1748570,0,0.00103083621522727
-3,[0;1.698565491016738e-06],[0;0.05],hill,1,1758610,1,stochastic-tf,75,[0;0.933791542490991],1758610,0,0.00102828802335541
-3,[0;1.724929142798483e-06],[0;0.05],hill,1,1768920,1,stochastic-tf,76,[0;0.931513882658259],1768920,0,0.000973064935266463
-3,[0;1.751701988184443e-06],[0;0.05],hill,1,1779540,1,stochastic-tf,77,[0;0.932722539802224],1779540,0,0.00102958413298458
-3,[0;1.778890378320782e-06],[0;0.05],hill,1,1790460,1,stochastic-tf,78,[0;0.933155125998107],1790460,0,0.00102336110789495
-3,[0;1.806500762930602e-06],[0;0.05],hill,1,1801700,1,stochastic-tf,79,[0;0.931022961950521],1801700,0,0.00101813517416156
-3,[0;1.834539691843995e-06],[0;0.05],hill,1,1813270,1,stochastic-tf,80,[0;0.929345430814344],1813270,0,0.000812595185033336
-3,[0;1.863013816551785e-06],[0;0.05],hill,1,1825190,1,stochastic-tf,81,[0;0.925787929067941],1825190,0,0.00103731382748956
-3,[0;1.891929891783451e-06],[0;0.05],hill,1,1837460,1,stochastic-tf,82,[0;0.931432817829965],1837460,0,0.00103089922484228
-3,[0;1.921294777109474e-06],[0;0.05],hill,1,1850120,1,stochastic-tf,83,[0;0.931583844862156],1850120,0,0.00102939813498143
-3,[0;1.951115438568621e-06],[0;0.05],hill,1,1863160,1,stochastic-tf,84,[0;0.924101861071721],1863160,0,0.00103913450248248
-3,[0;1.981398950320419e-06],[0;0.05],hill,1,1876610,1,stochastic-tf,85,[0;0.923655373412547],1876610,0,0.0010396336662584
-3,[0;2.012152496323344e-06],[0;0.05],hill,1,1890490,1,stochastic-tf,86,[0;0.924587935713284],1890490,0,0.00103865874859806
-3,[0;2.043383372038991e-06],[0;0.05],hill,1,1904810,1,stochastic-tf,87,[0;0.92335619567088],1904810,0,0.0010335911990749
-3,[0;2.075098986162764e-06],[0;0.05],hill,1,1919600,1,stochastic-tf,88,[0;0.933855224328058],1919600,0,0.00102833327021554
-3,[0;2.107306862381357e-06],[0;0.05],hill,1,1934870,1,stochastic-tf,89,[0;0.929694878112777],1934870,0,0.00103292940853014
-3,[0;2.140014641157582e-06],[0;0.05],hill,1,1950660,1,stochastic-tf,90,[0;0.92530670829543],1950660,0,0.00103757699419022
-3,[0;2.173230081542835e-06],[0;0.05],hill,1,1966980,1,stochastic-tf,91,[0;0.926732608401006],1966980,0,0.00103586713511386
-3,[0;2.206961063017742e-06],[0;0.05],hill,1,1983850,1,stochastic-tf,92,[0;0.923916441356072],1983850,0,0.00103941137424203
-3,[0;2.24121558736136e-06],[0;0.05],hill,1,2001320,1,stochastic-tf,93,[0;0.924114295276221],2001320,0,0.00103806574939772
-3,[0;2.276001780549382e-06],[0;0.05],hill,1,2019390,1,stochastic-tf,94,[0;0.924252738502643],2019390,0,0.00103902532281943
-3,[0;2.311327894681795e-06],[0;0.05],hill,1,2038120,1,stochastic-tf,95,[0;0.923109253186822],2038120,0,0.00104031935928702
-3,[0;2.347202309940487e-06],[0;0.05],hill,1,2057530,1,stochastic-tf,96,[0;0.926014882027647],2057530,0,0.00103441409883915
-3,[0;2.383633536577224e-06],[0;0.05],hill,1,2077650,1,stochastic-tf,97,[0;0.926773405627127],2077650,0,0.00103620258301923
-3,[0;2.420630216932478e-06],[0;0.05],hill,1,2098530,1,stochastic-tf,98,[0;0.921750894301181],2098530,0,0.00103426811857687
-3,[0;2.458201127485582e-06],[0;0.05],hill,1,2120200,1,stochastic-tf,99,[0;0.925194541074177],2120200,0,0.000990167040164622
-3,[0;2.496355180936722e-06],[0;0.05],hill,1,2142710,1,stochastic-tf,100,[0;0.920606872892319],2142710,0,0.00104312595155043
-3,[0;2.535101428321254e-06],[0;0.05],hill,1,2166110,1,stochastic-tf,101,[0;0.918587013912363],2166110,0,0.00104511454871444
-3,[0;2.574449061156807e-06],[0;0.05],hill,1,2190450,1,stochastic-tf,102,[0;0.922906464611788],2190450,0,0.00104040365226206
-3,[0;2.614407413623718e-06],[0;0.05],hill,1,2215780,1,stochastic-tf,103,[0;0.919316476110315],2215780,0,0.00104460128132263
-3,[0;2.65498596477933e-06],[0;0.05],hill,1,2242170,1,stochastic-tf,104,[0;0.9156797515437],2242170,0,0.00104870569464239
-3,[0;2.696194340806654e-06],[0;0.05],hill,1,2269670,1,stochastic-tf,105,[0;0.919403574226643],2269670,0,0.00103711449938049
-3,[0;2.738042317297918e-06],[0;0.05],hill,1,2298360,1,stochastic-tf,106,[0;0.919668671638097],2298360,0,0.00104330470043208
-3,[0;2.78053982157355e-06],[0;0.05],hill,1,2328320,1,stochastic-tf,107,[0;0.917408559824194],2328320,0,0.00104675820159632
-3,[0;2.823696935037189e-06],[0;0.05],hill,1,2359630,1,stochastic-tf,108,[0;0.918403147404352],2359630,0,0.00104563989311371
-3,[0;2.867523895567237e-06],[0;0.05],hill,1,2392370,1,stochastic-tf,109,[0;0.928704094829992],2392370,0,0.00103383770023537
-3,[0;2.912031099945513e-06],[0;0.05],hill,1,2426650,1,stochastic-tf,110,[0;0.917978966379262],2426650,0,0.00103897170608527
-3,[0;2.957229106323602e-06],[0;0.05],hill,1,2462570,1,stochastic-tf,111,[0;0.915894056076808],2462570,0,0.00104851376692912
